Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Continent
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,405586592.2,487709497.2,596648044.7,695530726.3,764804469.3,872067039.1,958659217.9,1083240223.0,1245810056.0,1320670391.0,1379888268.0,1531843575.0,1665363128.0,1722905028.0,1873452514.0,1896456983.0,1961843575.0,2044111732.0,2254830726.0,2360017318.0,2469782682.0,2677641341.0,2843024581.0,2553793296.0,2453597207.0,2637859218.0,2615208380.0,2727849162.0,2790849721.0,2962906704.0,2983637430.0,3092427933.0,3276187709.0,3346623191.0,2471419182.0,2880902799.0,3324034443.0,3834729616.0,4265650673.0,North America
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,24205688712.0,24958886027.0,27073233857.0,31769135009.0,30279553207.0,33806176717.0,36927249593.0,38444163574.0,41742001495.0,47048523179.0,47593907820.0,52188685167.0,56726057494.0,73083598129.0,89535976340.0,95295754527.0,96006417140.0,109208244155.0,124083421003.0,142099959765.0,178472295521.0,185108969365.0,178355547528.0,185755503030.0,170038515839.0,149335153752.0,160553515128.0,190175229571.0,207368870172.0,220613390803.0,256383050159.0,276918502950.0,241188307968.0,239981176638.0,243477534983.0,273327034188.0,273427612467.0,288270699674.0,268728127688.0,265321007619.0,287041984552.0,260849957489.0,269746009738.0,358116081062.0,445974808500.0,521561976778.0,587500469826.0,674999944548.0,726770401377.0,726921646145.0,863822114606.0,959822476084.0,969265729636.0,981308886977.0,998836162271.0,910002035578.0,831868076442.0,978076465866.0,1020955778298.0,1018714795912.0,938607563405.0,1114144799994.0,1228967879390.0,1179359054880.0,1242693542930.0,Africa
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3521418060.0,2813571754.0,3825701439.0,4520946819.0,5224896719.0,6203256539.0,6971758282.0,9747886187.0,10109297048.0,12416152732.0,15856668556.0,17805098206.0,19907329778.0,20146416758.0,20497128556.0,19134221645.0,18116572395.0,18753456498.0,18053222687.0,18799444490.0,19955929052.0,14259995441.0,14497243872.0,17152234637.0,,Asia
Africa Western and Central,AFW,GDP (current US$),NY.GDP.MKTP.CD,11904805742.0,12707719291.0,13630588814.0,14468913698.0,15803564796.0,16920876930.0,18033947667.0,16493541544.0,17022596884.0,19301191937.0,26696924214.0,24496786002.0,29489425516.0,36890633234.0,49687223643.0,57280116276.0,68385552348.0,71789497552.0,78778080490.0,96681064864.0,121445961253.0,217606540487.0,196264853552.0,151421439334.0,131373058519.0,138005066699.0,109517776160.0,112641148829.0,111770322170.0,104577372053.0,124277825787.0,130794315520.0,125449432677.0,130547124414.0,135350756019.0,207843864309.0,263563556144.0,276460023662.0,297126502719.0,140119071338.0,142700161610.0,150714426912.0,180129182231.0,208646527355.0,257939299772.0,316515667947.0,402077365741.0,470947616491.0,574259808704.0,515037106036.0,605794323434.0,691133400013.0,748030003657.0,844180401591.0,904071921008.0,778022057597.0,700028168335.0,694051345937.0,777840323023.0,1026996211936.0,963784699294.0,1026651004046.0,1063649130877.0,938238370514.0,736384961062.0,Africa
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,5930503401.0,5550483036.0,5550483036.0,5784341596.0,6131475065.0,7554065410.0,7072536109.0,8084412414.0,8769836769.0,10201780977.0,11229515599.0,10603784541.0,8307810974.0,5768720422.0,4438321017.0,5538749260.0,7526421519.0,7648380196.0,6506221616.0,6152923310.0,9129594970.0,8936079118.0,17311512432.0,20342128112.0,26997977897.0,41396636383.0,58653659980.0,73037821927.0,98790432989.0,81705175408.0,95546919755.0,125551634704.0,143572907528.0,148845200697.0,153449860496.0,102543067841.0,59878249719.0,84376935689.0,89512794227.0,80734428593.0,58852456454.0,79559543805.0,131212208930.0,107167747140.0,100998916781.0,Africa
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,1578102105.0,1808177156.0,1861163170.0,1881412587.0,1857337995.0,1897050117.0,2097326250.0,2080796250.0,2051236250.0,2253090000.0,2028553750.0,1099559028.0,652174990.8,1185315468.0,1880950864.0,2905092799.0,3234486232.0,2293666030.0,2600356999.0,3283941510.0,3584570165.0,4059064033.0,4515003117.0,5801712040.0,7406645793.0,8256658250.0,9150528132.0,11116937870.0,13258506375.0,12335540656.0,12086545641.0,12973755875.0,12246499748.0,12796985886.0,13296322588.0,11470171827.0,11988668785.0,13258268436.0,15379508330.0,15585111614.0,15241458745.0,18031989573.0,19017247014.0,23491242727.0,27046429297.0,Europe
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,78617711.1,89406608.15,113414397.4,150841639.3,186557082.0,220112572.2,227283850.8,253997897.2,308020261.2,411548748.4,446377776.8,388983266.2,375914743.6,327850042.5,330073080.6,346742714.7,481996012.9,611299924.5,721425939.2,795489582.0,1028989692.0,1106891362.0,1209992020.0,1007090270.0,1017544069.0,1178745283.0,1224024139.0,1180645572.0,1211953994.0,1240295199.0,1432606296.0,1548265927.0,1764279818.0,2366941614.0,2900244054.0,3161084847.0,3459336818.0,3957627537.0,4102317468.0,3688974807.0,3449925694.0,3629133063.0,3188653259.0,3193513470.0,3271686452.0,2789882569.0,2896611879.0,3000160415.0,3218418632.0,3155150256.0,2891002460.0,3324648076.0,3380611695.0,3785065525.0,4039842405.0,Europe
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,,19998438485.0,20329047307.0,22364472061.0,24813307354.0,26771102387.0,28351046183.0,30600869635.0,34973045351.0,38563619624.0,43094140249.0,49930151659.0,59970718932.0,79130725987.0,152199035091.0,168169966031.0,210007567495.0,242286792667.0,265416211838.0,358135553985.0,486438763949.0,494934288112.0,463099887500.0,437476513138.0,440187316546.0,432863846846.0,405451959728.0,431233175939.0,429362637001.0,457356344756.0,641684045874.0,467929266012.0,467773383889.0,478901764896.0,499875724097.0,528474798399.0,570906157108.0,614595338336.0,598783412688.0,665404837896.0,763400003917.0,744722772316.0,746650656665.0,830076413454.0,987304981951.0,1210081969427.0,1439461108231.0,1674641032780.0,2118071078805.0,1829849574765.0,2161397546203.0,2573067811498.0,2813567531715.0,2883689839003.0,2937035588683.0,2580328583417.0,2536564595459.0,2611323720520.0,2920829737235.0,2965285548936.0,2604104981820.0,3085141461686.0,3747416641077.0,3622495663982.0,3735881442514.0,Asia
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,685986701.3,939893599.6,1415086929.0,4231243616.0,11651505689.0,14720728249.0,19213158779.0,24871775165.0,23775764225.0,31225659621.0,43599160050.0,49333424135.0,46622718605.0,42803323345.0,41807954236.0,40603650232.0,33943612095.0,36384908744.0,36275674203.0,41464995914.0,50701443748.0,51552165622.0,54239171888.0,55625170253.0,59305093980.0,65743666576.0,73571233996.0,78839008445.0,75674336283.0,84445473111.0,104337372362.0,103311640572.0,109816201498.0,124346358067.0,147824370320.0,180617467965.0,222116541865.0,257916133424.0,315474615739.0,253547358747.0,307736419333.0,368881143635.0,392793464942.0,409632675289.0,424935874745.0,381973042886.0,381717086453.0,403365010211.0,440560108918.0,433926208305.0,357161878829.0,422441388700.0,511403403676.0,522622191967.0,552324846835.0,Asia
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,15865474315.0,20132220375.0,18337691145.0,18272123664.0,25605249382.0,28344705967.0,28630474728.0,24256667553.0,26436857247.0,31256284544.0,31584210366.0,33293199095.0,34733000536.0,52544000117.0,72436777342.0,52438647922.0,51169499892.0,56781000101.0,89049453088.0,69252328952.0,76961923741.0,78676842367.0,84307486837.0,103979106778.0,116915052107.0,88150891728.0,105872372614.0,108810885301.0,126890235049.0,76629728760.0,141352654305.0,189719984268.0,228778917308.0,236741715015.0,257440000000.0,258031750000.0,272149750000.0,292859000000.0,298948250000.0,283523000000.0,284203750000.0,268696750000.0,97724004252.0,127586973492.0,164657930453.0,198737095012.0,232557260817.0,287530508431.0,361558037110.0,332976484578.0,423627422092.0,530158122010.0,545982375701.0,552025140252.0,526319673732.0,594749285413.0,557532320663.0,643628393281.0,524819892360.0,447754683615.0,385740508437.0,486564085480.0,633993756301.0,649461687959.0,638365455340.0,South America
